nome_municipio,UF,regiao,codigo_municipio,latitude,longitude
Alta Floresta D'Oeste,RO,Norte,1100015,-12.4701,-62.2747
Ariquemes,RO,Norte,1100023,-9.9519,-62.9572
Cabixi,RO,Norte,1100031,-13.4749,-60.6398
Cacoal,RO,Norte,1100049,-11.3013,-61.3247
Cerejeiras,RO,Norte,1100056,-13.2036,-61.261
Colorado do Oeste,RO,Norte,1100064,-13.1592,-60.5502
Corumbiara,RO,Norte,1100072,-12.9266,-61.0916
Costa Marques,RO,Norte,1100080,-12.1473,-64.0588
Espigão D'Oeste,RO,Norte,1100098,-11.3513,-60.7848
Guajará-Mirim,RO,Norte,1100106,-11.3056,-64.5376
Jaru,RO,Norte,1100114,-10.5924,-62.5849
Ji-Paraná,RO,Norte,1100122,-10.4622,-61.7573
Machadinho D'Oeste,RO,Norte,1100130,-9.2041,-62.0104
Nova Brasilândia D'Oeste,RO,Norte,1100148,-11.6431,-62.2802
Ouro Preto do Oeste,RO,Norte,1100155,-10.6106,-62.1725
Pimenta Bueno,RO,Norte,1100189,-11.8945,-60.8304
Porto Velho,RO,Norte,1100205,-9.1536,-64.3068
Presidente Médici,RO,Norte,1100254,-11.1663,-61.878
Rio Crespo,RO,Norte,1100262,-9.6452,-62.7901
Rolim de Moura,RO,Norte,1100288,-11.7326,-61.7716
Santa Luzia D'Oeste,RO,Norte,1100296,-12.027,-61.7011
Vilhena,RO,Norte,1100304,-12.096,-60.2486
São Miguel do Guaporé,RO,Norte,1100320,-11.6122,-62.9877
Nova Mamoré,RO,Norte,1100338,-10.3822,-64.6291
Alvorada D'Oeste,RO,Norte,1100346,-11.3114,-62.545
Alto Alegre dos Parecis,RO,Norte,1100379,-12.5937,-61.8808
Alto Paraíso,RO,Norte,1100403,-9.6493,-63.3943
Buritis,RO,Norte,1100452,-10.0521,-63.9412
Novo Horizonte do Oeste,RO,Norte,1100502,-11.6811,-62.0832
Cacaulândia,RO,Norte,1100601,-10.3316,-62.9872
Campo Novo de Rondônia,RO,Norte,1100700,-10.4849,-63.7997
Candeias do Jamari,RO,Norte,1100809,-8.887,-63.3256
Castanheiras,RO,Norte,1100908,-11.4708,-61.8801
Chupinguaia,RO,Norte,1100924,-12.5372,-60.8991
Cujubim,RO,Norte,1100940,-9.1711,-62.5653
Governador Jorge Teixeira,RO,Norte,1101005,-10.748,-63.184
Itapuã do Oeste,RO,Norte,1101104,-9.1702,-63.0449
Ministro Andreazza,RO,Norte,1101203,-11.1603,-61.569
Mirante da Serra,RO,Norte,1101302,-11.0768,-62.848
Monte Negro,RO,Norte,1101401,-10.2108,-63.3724
Nova União,RO,Norte,1101435,-10.8893,-62.5324
Parecis,RO,Norte,1101450,-12.2623,-61.4154
Pimenteiras do Oeste,RO,Norte,1101468,-13.1739,-61.5453
Primavera de Rondônia,RO,Norte,1101476,-11.8787,-61.3153
